Task Name,University,School Year,Course Name,Course Code,Credit,"Group/Individual/Hybrid
",Task Type,Task Weight (%),"Post Date
yyyy/mm/dd","Due Date
yyyy/mm/dd",Due Time,Dependency,"Time Required to Finish 
the Rest of the Work (h)",Difficulty,Current Date (Today),# Days Left,"Uncompleted Task Current Progress
(%)",Uncomplete Task Time Spent (H),"Priority 
(1-5 L-H)"
Assignment 3,McMaster University,4th year,Scientific Computation,SFWRENG 4X03,3,Individual,Assignment,8,2023/11/2,2023/11/15,11:59 pm,N/A,18,5,2023/11/11,4,10,0,5
Quiz 7,McMaster University,4th year,"Ethics, Equity and Law in Engineering",ENGINEER 4A03,3,Individual,Quiz,4.29,-,2023/11/13,11:59 pm,N/A,0.25,2,2023/11/12,1,0,0,3
Project Part II: Case Study,McMaster University,4th year,"Ethics, Equity and Law in Engineering",ENGINEER 4A03,3,Group,Project,5,-,2023/11/17,11:59 pm,Project Part I: Literature Review,2,3,2023/11/12,5,0,0,3
Lab 2/PPA2,McMaster University,2nd year,Principles of Programming,COMPENG 2SH4,4,Individual,Lab,10,2023/10/13,2023/10/27,11:59 pm,N/A,12,4,2023/10/20,7,50,12,5
Assignment 4,McMaster University,4th year,Scientific Computation,SFWRENG 4X03,3,Individual,Assignment,8,2023/11/16,2023/11/30,11:59 pm,N/A,25,5,2023/11/12,14,0,0,1
DT 2: Design Project M3: User Requirements Elicitation & Definition,McMaster University,4th year,Human Computor Interfaces,SFWRENG 4HC3,3,Group,Project,10,-,2023/11/08,11:59 pm,DT 2: Design Project M2: User Requirements Elicitation Plan & Instruments,4,4,2023/11/7,1,30,5,5
Design Project M3: Critical Reflection,McMaster University,4th year,Human Computor Interfaces,SFWRENG 4HC4,3,Individual,Project,3,-,2023/11/11,11:59 pm,DT 2: Design Project M3: User Requirements Elicitation & Definition,1,3,2023/11/8,3,50,1,4
DT 2: Design Project M3: User Requirements Elicitation & Definition,McMaster University,4th year,Human Computor Interfaces,SFERENG 4HC3,3,Group,Project,10,-,2023/11/08,11:59 pm,DT 2: Design Project M2: User Requirements Elicitation Plan & Instruments,5,4,2023/11/6,2,5,1,4
Design Project M3: Mid-Project Team Evaluations,McMaster University,4th year,Human Computor Interfaces,SFERENG 4HC3,3,Individual,Project,2,-,2023/11/06,11:59 pm,-,1,1,2023/11/6,0,80,1,5
"Team Formed, Project Selected",McMaster University,4th year,Software Design IV - Capstone Design Project,SFWRENG 4G06A,6,Group,Project,0,-,2023/09/18,11:59 pm,-,0.5,2,2023/9/17,1,50,1,5
Design Project M1 Critical Reflection,McMaster University,4th year,Human Computor Interfaces,SFERENG 4HC3,3,Individual,Project,5,-,2023/09/22,11:59 pm,Design Project M1: Proposal & Team Contract,3,3,2023/9/17,5,0,0,3
Assignment 1,McMaster University,4th year,Scientific Computation,SFWRENG 4X03,3,Individual,Assignment,8,2023/9/21,2023/10/05,11:59 pm,-,16,5,2023/9/17,18,0,0,1
[OPTIONAL] Check-in: Interaction Critical Evaluations,McMaster University,4th year,Human Computor Interfaces,SFERENG 4HC3,3,Individual,Assignment,0,-,2023/09/29,11:59 pm,-,6,4,2023/9/24,5,0,0,1
Assignment 1,McMaster University,4th year,Scientific Computation,SFWRENG 4X03,3,Individual,Assignment,8,2023/9/21,2023/10/05,11:59 pm,-,16,5,2023/9/24,11,0,0,2
"Problem Statement, POC Plan, Development Plan",McMaster University,4th year,Software Design IV - Capstone Design Project,SFWRENG 4G06A,6,Group,Project,2,-,2023/10/02,11:59 pm,"Team Formed, Project Selected",6,4,2023/9/24,8,20,4,4
Test 1,McMaster University,4th year,"Introduction to Anthropology: Sex, Food and Death",ANTHROP 1AA3,3,Individual,Test Review,25,-,2023/10/06,8:30 am,-,2,3,2023/9/24,12,0,0,2
Midterm Test,McMaster University,4th year,Real-Time Systems and Control Applications,SFWRENG 4AA4,4,Individual,Test Review,25,-,2023/10/06,1:30 pm,-,12,4,2023/9/24,12,0,0,4
Assignment 1,McMaster University,4th year,Scientific Computation,SFWRENG 4X03,3,Individual,Assignment,8,2023/9/21,2023/10/05,11:59 pm,-,12,5,2023/10/1,4,20,3,5
"Problem Statement, POC Plan, Development Plan",McMaster University,4th year,Software Design IV - Capstone Design Project,SFWRENG 4G06A,6,Group,Project,2,-,2023/10/02,11:59 pm,"Team Formed, Project Selected",2,4,2023/10/1,1,80,8,4
Test 1,McMaster University,4th year,"Introduction to Anthropology: Sex, Food and Death",ANTHROP 1AA3,3,Individual,Test Review,25,-,2023/10/06,8:30 am,-,0,3,2023/10/1,5,100,1.5,1
Midterm Test,McMaster University,4th year,Real-Time Systems and Control Applications,SFWRENG 4AA4,4,Individual,Test Review,25,-,2023/10/06,1:30 pm,-,10,4,2023/10/1,5,15,2,5
Assignment 2,McMaster University,4th year,Scientific Computation,SFWRENG 4X03,3,Individual,Assignment,8,2023/10/5,2023/10/25,11:59 pm,-,16,5,2023/10/1,24,0,0,1
