id,title,description,userId,tag,imageUrl
1,Best Study Spots on Campus,"Share your favorite places to study on campus! Looking for quiet, comfortable spots with power outlets.",1,Academics,
2,Textbook Exchange,Let's exchange textbooks we no longer need. Save money and help the planet!,2,Academics,
3,Exam Prep Strategies,What are your strategies for preparing for finals? Let's share tips and support each other.,3,Advice,
4,Group Projects Survival Guide,How do you deal with difficult group project members? Discuss your experiences and advice.,1,Advice,
5,Affordable Eats Near Campus,Know a great food spot with student discounts? Share your recommendations!,2,Advice,
6,This is a very long topic,This is a very long topic.This is a very long topic.This is a very long topic.This is a very long topic.This is a very long topic.This is a very long topic.This is a very long topic.This is a very long topic.This is a very long topic.This is a very long topic.This is a very long topic.This is a very long topic.This is a very long topic.This is a very long topic.This is a very long topic.This is a very long topic.This is a very long topic.This is a very long topic.This is a very long topic.This is a very long topic.This is a very long topic.This is a very long topic.This is a very long topic.This is a very long topic.This is a very long topic.This is a very long topic.This is a very long topic.This is a very long topic.This is a very long topic.This is a very long topic.This is a very long topic.This is a very long topic.,1,Academics,
7,RANT!!!,THODE!!,1,AdviceAdvice,
8,Exchange program anyone?,Looking for info about exchange program,1,Exchange,
9,Lost button,I could not find my submit button!!,1,Advice,
10,Lost button,I could not find my submit button!!,1,Advice,
11,Lost button,I could not find my submit button!!,1,Advice,
12,hhh,hhh,1,Academics,https://course-buddy.s3.amazonaws.com/uploads/Screenshot_2024-03-20_at_9.12.21_PM.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASQ4ZMWHMG7UKUEWO%2F20240321%2Fus-east-2%2Fs3%2Faws4_request&X-Amz-Date=20240321T013636Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=1c4e7466b83fd651ac3f4835db00e450e7ebb4dbe1867b5e5bc7d8a5655ac6ae
13,waht region,reguion,1,Academics,https://course-buddy.s3.amazonaws.com/uploads/Screenshot_2024-03-19_at_11.47.13_AM.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASQ4ZMWHMG7UKUEWO%2F20240321%2Fus-east-2%2Fs3%2Faws4_request&X-Amz-Date=20240321T013957Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=a70e486bbec1d63c131010e8a6869502d635ea2159ebe93eb569d82b19afb1f9
14,Little no,nnonono,1,Academics,https://course-buddy.s3.amazonaws.com/uploads/Screenshot_2024-03-20_at_9.42.35_PM.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASQ4ZMWHMG7UKUEWO%2F20240321%2Fus-east-2%2Fs3%2Faws4_request&X-Amz-Date=20240321T014244Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=bd19913191f445a62255cc925e46c3824f475c50cbbae80274b0ba1211055859
